,feat_importance,feat
0,CC_AMT_TOTAL_RECEIVABLE_MEAN,CODE_GENDER
1,CC_AMT_RECIVABLE_MEAN,DAYS_BIRTH
2,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,DAYS_EMPLOYED
3,DAYS_BIRTH,DAYS_ID_PUBLISH
4,CC_AMT_BALANCE_MEAN,FLAG_EMP_PHONE
5,DAYS_EMPLOYED,REGION_RATING_CLIENT
6,CLOSED_DAYS_CREDIT_MIN,REGION_RATING_CLIENT_W_CITY
7,BURO_DAYS_CREDIT_MAX,REG_CITY_NOT_WORK_CITY
8,BURO_DAYS_CREDIT_UPDATE_MEAN,EXT_SOURCE_1
9,DAYS_LAST_PHONE_CHANGE,EXT_SOURCE_2
10,CLOSED_DAYS_CREDIT_MEAN,EXT_SOURCE_3
11,CLOSED_DAYS_CREDIT_UPDATE_MEAN,FLOORSMAX_AVG
12,DAYS_ID_PUBLISH,FLOORSMAX_MODE
13,CLOSED_DAYS_CREDIT_MAX,FLOORSMAX_MEDI
14,BURO_DAYS_CREDIT_MIN,DAYS_LAST_PHONE_CHANGE
15,BURO_DAYS_CREDIT_MEAN,NAME_INCOME_TYPE_Pensioner
16,REFUSED_CNT_PAYMENT_SUM,NAME_INCOME_TYPE_Working
17,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,NAME_EDUCATION_TYPE_Highereducation
18,REFUSED_HOUR_APPR_PROCESS_START_MEAN,NAME_EDUCATION_TYPE_Secondarysecondaryspecial
19,TR_AGE,OCCUPATION_TYPE_Laborers
20,CC_CNT_DRAWINGS_CURRENT_MAX,ORGANIZATION_TYPE_XNA
21,REFUSED_HOUR_APPR_PROCESS_START_MAX,TR_AGE
22,REGION_RATING_CLIENT,BURO_DAYS_CREDIT_MIN
23,NAME_EDUCATION_TYPE_Highereducation,BURO_DAYS_CREDIT_MAX
24,EXT_SOURCE_3,BURO_DAYS_CREDIT_MEAN
25,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN
26,NAME_INCOME_TYPE_Working,BURO_CREDIT_ACTIVE_Active_MEAN
27,CODE_GENDER,BURO_CREDIT_ACTIVE_Closed_MEAN
28,REFUSED_APP_CREDIT_PERC_MAX,CLOSED_DAYS_CREDIT_MIN
29,CC_CNT_DRAWINGS_CURRENT_MEAN,CLOSED_DAYS_CREDIT_MAX
30,FLOORSMAX_AVG,CLOSED_DAYS_CREDIT_MEAN
31,REG_CITY_NOT_WORK_CITY,CLOSED_DAYS_CREDIT_UPDATE_MEAN
32,EXT_SOURCE_2,PREV_NAME_CONTRACT_STATUS_Refused_MEAN
33,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,PREV_CODE_REJECT_REASON_HC_MEAN
34,OCCUPATION_TYPE_Laborers,PREV_CODE_REJECT_REASON_SCOFR_MEAN
35,REFUSED_CNT_PAYMENT_MEAN,PREV_NAME_PRODUCT_TYPE_walkin_MEAN
36,REFUSED_APP_CREDIT_PERC_MEAN,REFUSED_APP_CREDIT_PERC_MAX
37,ORGANIZATION_TYPE_XNA,REFUSED_APP_CREDIT_PERC_MEAN
38,PREV_CODE_REJECT_REASON_HC_MEAN,REFUSED_HOUR_APPR_PROCESS_START_MAX
39,FLOORSMAX_MODE,REFUSED_HOUR_APPR_PROCESS_START_MEAN
40,FLAG_EMP_PHONE,REFUSED_CNT_PAYMENT_MEAN
41,BURO_CREDIT_ACTIVE_Active_MEAN,REFUSED_CNT_PAYMENT_SUM
42,NAME_INCOME_TYPE_Pensioner,CC_AMT_BALANCE_MEAN
43,BURO_CREDIT_ACTIVE_Closed_MEAN,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN
44,FLOORSMAX_MEDI,CC_AMT_RECIVABLE_MEAN
45,REGION_RATING_CLIENT_W_CITY,CC_AMT_TOTAL_RECEIVABLE_MEAN
46,PREV_NAME_PRODUCT_TYPE_walkin_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MAX
47,EXT_SOURCE_1,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN
48,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,CC_CNT_DRAWINGS_CURRENT_MAX
49,PREV_CODE_REJECT_REASON_SCOFR_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN
